dataset,type,size,time,output
,Quick Sort,50,0,
,Randomized Quick Sort,50,0,
,Quick Sort,100,0.001,
,Randomized Quick Sort,100,0,
,Quick Sort,150,0.003,
,Randomized Quick Sort,150,0.001,
,Quick Sort,200,0.001,
,Randomized Quick Sort,200,0,
,Quick Sort,250,0.002,
,Randomized Quick Sort,250,0.001,
,Quick Sort,300,0.003,
,Randomized Quick Sort,300,0,
,Quick Sort,350,0.003,
,Randomized Quick Sort,350,0.002,
,Quick Sort,400,0.006,
,Randomized Quick Sort,400,0.001,
,Quick Sort,450,0.008,
,Randomized Quick Sort,450,0.001,
,Quick Sort,500,0.008,
,Randomized Quick Sort,500,0.001,
